medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
E5E0C3B068AE9ABBEB80B81AB6EC8C1B,3384214B8F0D79DEB8F9619A3163499C,CMT,1,N,2013-10-13 19:52,2013-10-13 20:06,1,813,2.5,-73.976997,40.764503,-74.00248,40.746971
6B3D1A9F93C3769EF8F8446DE7CCB9F4,93C4C9A0DF50E2CF7904B9E565883EFD,CMT,1,N,2013-10-11 12:27,2013-10-11 12:45,1,1100,0.9,-74.003334,40.752979,-73.988609,40.751953
3A01EBD8ED437E778FF00E0D8E199433,D7C8D417D823BDDCAC27BE01528ACECB,CMT,1,N,2013-10-10 19:22,2013-10-10 19:34,1,722,2.1,-73.997658,40.724346,-74.006035,40.745075
AF2F53FA7BB1F6BD63D5275CEED086BB,5500334F780132AC7D883F01F869212E,CMT,1,Y,2013-10-11 0:18,2013-10-11 0:27,1,558,3.4,-73.975723,40.752052,-73.949112,40.784412
AF2F53FA7BB1F6BD63D5275CEED086BB,5500334F780132AC7D883F01F869212E,CMT,1,N,2013-10-10 21:50,2013-10-10 22:04,1,799,2.8,-73.988419,40.743523,-74.007118,40.711689
AF2F53FA7BB1F6BD63D5275CEED086BB,5500334F780132AC7D883F01F869212E,CMT,1,N,2013-10-10 20:49,2013-10-10 20:54,1,338,1.4,-73.989594,40.774525,-73.974907,40.788036
DCCCCA12940B129ED5213513A34ABEC6,B360CE7213978C205937BF5236C841CA,CMT,1,N,2013-10-09 13:58,2013-10-09 14:33,2,2109,2.2,-73.970238,40.764065,-73.99408,40.752533
3519845B181E2C0C603FF23A320A1718,DF46CE34589E2AA3251F4F55DC80C71A,CMT,1,N,2013-10-09 7:38,2013-10-09 7:54,1,971,2.4,-73.976616,40.780537,-73.977943,40.753635
0509E1F73EE41E40373D460E8CD13D8E,6DAC910F4ADDA8424ADACF55F5E7A85D,CMT,1,N,2013-10-08 23:48,2013-10-09 0:06,1,1097,6.5,-74.010307,40.71199,-73.952362,40.73333
B976C2299905CE417E1B19AD6C903DD6,E3F771F4D3D392B59DD15835DAB010ED,CMT,1,N,2013-10-13 23:41,2013-10-13 23:48,3,430,2.2,-73.985382,40.731884,-73.985382,40.731884
930A4A40C9BC9ED01468B55457CE445D,FAF33260258FAB2465EC654C6593C215,CMT,1,N,2013-10-12 14:46,2013-10-12 14:49,1,227,0.6,-73.994476,40.724888,-74.004417,40.728512
AC7A85219867AB060609BA214C124969,EBB1EF221B5CE8E5B4B5D8B54122C92A,CMT,1,N,2013-10-13 20:13,2013-10-13 20:22,2,565,1.7,-73.981743,40.740852,-74.002548,40.733799
34CE2E3B6B1E89A382ADC6232EEADF54,74DF089037AE35498FC0F8FD46CDD013,CMT,1,N,2013-10-10 10:01,2013-10-10 10:26,1,1536,3.8,-73.961647,40.798725,-73.974945,40.754745
3FCB31A38B7A371646C983C2D6650730,7F444F004043DDB6E56D5E0A12BA8936,CMT,1,N,2013-10-09 9:59,2013-10-09 10:09,1,628,1.4,-73.985863,40.752335,-73.969986,40.762352
13A57EE874E2560DF1F9D6C639BB7DAB,5FE3733438871FE98C05D259E8693750,CMT,1,N,2013-10-12 15:36,2013-10-12 16:03,2,1631,2.4,-73.970749,40.764385,-73.998177,40.765133
0AE02CB7E66174694EBB3C2ADD5EDCFA,D1368D66C26C2C79BB732350670A7997,CMT,1,N,2013-10-13 16:54,2013-10-13 17:01,1,418,2.3,-73.955414,40.768784,-73.975433,40.752148
200BE304DD921144C91F1DC079802B1D,C7E17484F9FE76FA9F40E23D3683367D,CMT,1,N,2013-10-11 7:16,2013-10-11 7:48,2,1882,9.3,-73.86367,40.769691,-73.948853,40.828922
0AE02CB7E66174694EBB3C2ADD5EDCFA,D1368D66C26C2C79BB732350670A7997,CMT,1,N,2013-10-13 18:26,2013-10-13 19:00,2,2008,10.1,-73.862793,40.769123,-73.992447,40.730568
9BD05932D8AFDD452B61362FEEA9A4A0,6B13504B617AF8D7BB44C6753F72B55F,CMT,1,N,2013-10-11 22:10,2013-10-11 22:29,1,1123,4.3,-74.006538,40.733749,-73.996918,40.68029
D9798B9418860093A40370B5146DE691,5E1BA0DF7E77362BFE4DDD57470B766F,CMT,2,N,2013-10-11 15:56,2013-10-11 16:54,2,3461,18.3,-73.995842,40.715729,-73.78978,40.646931
A3A8DD6B804B1AD9BC2DD62E08B4646D,2B7B05BF93A7AFBAE66B58C5D915DF03,CMT,1,N,2013-10-08 21:29,2013-10-08 21:34,1,300,0.9,-74.001465,40.730946,-73.988914,40.730789
580ECB971AF96627B0599CD5625AFA70,D8AC94A46B5070BB02545210B962828A,CMT,1,N,2013-10-11 22:50,2013-10-11 23:30,2,2417,12.5,-73.958939,40.716785,-73.950569,40.827354
A5BABC9F86C9A45EAA0B3D1A91704D25,02C9A203526E33DB0FEBD4BD28AE67D7,CMT,1,N,2013-10-10 21:34,2013-10-10 21:40,1,321,1.2,-73.953835,40.775253,-73.954765,40.78574
06EAD4C8D98202F1E2D7057F2899CFE5,6EE7BDC9FC2B9616FAC2BE9A078F3479,CMT,1,N,2013-10-13 22:36,2013-10-13 22:47,1,611,3.6,-73.994888,40.755344,-74.015274,40.709877
E341F129B04FA78EBD58D7E5FC54B1E8,1521ED338563EB4849926D796BC29466,CMT,1,N,2013-10-11 8:20,2013-10-11 8:26,1,387,0.7,-73.957932,40.781925,-73.955437,40.776852
B3AD8F7072C2792619DD11227FFB73B6,5C050276467FCF06C6C485FAAB457305,CMT,1,N,2013-10-11 23:03,2013-10-11 23:14,1,655,1.7,-73.978722,40.723953,-73.980339,40.742619
7B42640E2575D1C97848B1D1CCFA7307,74809FB2CFCFCE1D5A0FE52AAFD84F46,CMT,1,N,2013-10-13 4:33,2013-10-13 4:53,1,1195,6.3,-73.984383,40.725201,-73.977997,40.673931
B3AD8F7072C2792619DD11227FFB73B6,5C050276467FCF06C6C485FAAB457305,CMT,1,N,2013-10-11 16:57,2013-10-11 17:04,1,462,0.6,-73.961601,40.770874,-73.961876,40.76469
D9CA7725638427DA04DB5BF175576E78,F8537B09BA269DD48466B02BED838B2F,CMT,1,N,2013-10-13 1:00,2013-10-13 1:12,1,756,3.2,-73.955742,40.772388,-73.985451,40.731766
93802B2D5A792266C38378CB7AD9FB11,6BEFDF0175053E1CD632FC3393C090C9,CMT,1,Y,2013-10-09 17:41,2013-10-09 17:48,1,430,1.6,-73.965775,40.79023,-73.967232,40.806606
0B8DF2DC5F1DB2C1906E80A4AD0CB244,520BBF8F09B2F9F10AD92D0AB9F567D3,CMT,1,N,2013-10-10 19:16,2013-10-10 19:36,1,1169,3.2,-73.957535,40.770126,-73.991554,40.738678
29D2001C1F60332D69122FE1113BBA86,15E3B800375A8DF0EA8E98EDEC024024,CMT,1,N,2013-10-12 22:19,2013-10-12 22:31,1,686,1.5,-73.996407,40.743557,-73.991432,40.72744
868D693871902CA3F7D5DBEE353ADA71,4AE2923DFD86210695350370756E14C3,CMT,1,N,2013-10-08 16:52,2013-10-08 17:01,1,537,2.1,-73.979538,40.771248,-73.954544,40.778919
A9BD3AE9E01FFD461AC564599728921A,442BE00622E3772A83910A8D93CCA2E6,CMT,1,N,2013-10-13 20:09,2013-10-13 20:20,1,622,1.8,-73.998032,40.736092,-73.975021,40.741772
183A2E18C00364428D578BBFE2FA03F5,A395CB27D2611CCFA493BB3BC8EBAD41,CMT,1,N,2013-10-12 22:26,2013-10-12 22:36,2,604,2.2,-74.016808,40.708488,-74.002472,40.729019
01C3BF069A4CB23CEE0389534DB94E89,65A7C84B428B0CCC2B71630FD333AC8D,CMT,1,N,2013-10-08 17:47,2013-10-08 18:24,1,2202,7.2,-73.955849,40.784969,-74.013985,40.716373
1573B667872D77E8130DB3A06A6975A7,30D8804C7CC2FD096389A05C3D29CB26,CMT,2,N,2013-10-13 22:34,2013-10-13 23:10,1,2179,18.5,-73.776619,40.645153,-73.985893,40.761993
FE637677F22C46050FCEC4E93E8ABACF,0BA16677D13B1B4EF68FFDEE483D18DC,CMT,1,N,2013-10-07 2:22,2013-10-07 2:31,1,560,3.5,-74.002853,40.730507,-73.965157,40.760647
FFA00BDFE6BC7DD95D36D20154B06A53,20B45D786B2A55D8E13DD0E949B0997E,CMT,1,N,2013-10-07 21:34,2013-10-07 21:42,1,431,1.1,-73.986397,40.739906,-73.981476,40.729156
DCCCCA12940B129ED5213513A34ABEC6,B360CE7213978C205937BF5236C841CA,CMT,1,N,2013-10-09 8:22,2013-10-09 8:44,1,1298,3,-74.006142,40.717121,-73.982964,40.756561
